NAME OF COMPANY,TOTAL NO. OF ISSUED SHARES A+B+C,TOTAL PROMOTER HOLDING NO. OF SHARES (A),TOTAL PROMOTER HOLDING % A /(A+B+C),TOTAL PUBLIC HOLDING B,PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)],PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP,DISCLOSURE MADE BY PROMOTERS,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES,(%) PLEDGE / DEMAT,Values(Rs. Cr.),BROADCAST DATE
Race Eco Chain Limited,16432200,7360100,44.79,9072100,0,0,0,,10/7/24 11:30,2405702,16432200,14.64,,10/7/24 11:30
Radaan Mediaworks India Limited,54161540,27849790,51.42,26311750,27500000,98.74,50.77,,10/7/24 11:30,13704667,53984316,25.39,,10/7/24 11:30
Radha Madhav Corporation Limited,91295775,18328902,20.08,72966873,2400000,13.09,2.63,,10/7/24 11:30,9657505,86339640,11.19,,10/7/24 11:30
Radico Khaitan Limited,133715325,53829818,40.26,79885507,0,0,0,,10/7/24 11:30,5746703,133091648,4.32,,10/7/24 11:30
Rain Industries Limited,336345679,138378854,41.14,197966825,0,0,0,,10/7/24 11:30,26430175,333292209,7.93,,10/7/24 11:30
Rainbow Papers Limited,106217300,14197680,13.37,92019620,4850000,34.16,4.57,,10/7/24 11:30,4902730,105284895,4.66,,10/7/24 11:30
Raj Television Network Limited,51913344,36862607,71.01,15050737,0,0,0,,10/7/24 11:30,4246241,51912922,8.18,,10/7/24 11:30
Rajdarshan Industries Limited,3108300,1978858,63.66,1129442,0,0,0,,10/7/24 11:30,5669,2595395,0.22,,10/7/24 11:30
Rajesh Exports Limited,295259959,161065474,54.55,134194485,0,0,0,,10/7/24 11:30,9987730,294909127,3.39,,10/7/24 11:30
Rajshree Sugars & Chemicals Limited,33135606,13473621,40.66,19661985,13473621,100,40.66,,10/7/24 11:30,13987143,31127136,44.94,,10/7/24 11:30
Rajvir Industries Limited,3994860,2993722,74.94,1001138,2073859,69.27,51.91,,10/7/24 11:30,2084894,3952947,52.74,,10/7/24 11:30
Rallis India Limited,194468890,107116610,55.08,87352280,0,0,0,,10/7/24 11:30,5730434,193176550,2.97,,10/7/24 11:30
Rama Phosphates Limited,17693213,13269756,75,4423457,1769321,13.33,10,,10/7/24 11:30,2080256,17565221,11.84,,10/7/24 11:30
Ramco Industries Limited,86809060,47576701,54.81,39232359,1840000,3.87,2.12,,10/7/24 11:30,5853537,85924840,6.81,,10/7/24 11:30
Ramco Systems Limited,35488864,18379896,51.79,17108968,0,0,0,,10/7/24 11:30,934712,37039607,2.52,,10/7/24 11:30
Ramkrishna Forgings Limited,180776179,78191069,43.25,102585110,4500000,5.76,2.49,,10/7/24 11:30,13351762,180776129,7.39,,10/7/24 11:30
Ramky Infrastructure Limited,69197791,48304599,69.81,20893192,12412171,25.7,17.94,,10/7/24 11:30,18294694,69164970,26.45,,10/7/24 11:30
Rana Sugars Limited,153567820,34766079,22.64,118801741,0,0,0,,10/7/24 11:30,9036596,149219765,6.06,,10/7/24 11:30
Rane (Madras) Limited,16265267,11815955,72.65,4449312,0,0,0,,10/7/24 11:30,221235,16203693,1.37,,10/7/24 11:30
Rane Brake Lining Limited,7729871,5482539,70.93,2247332,0,0,0,,10/7/24 11:30,58893,7670037,0.77,,10/7/24 11:30
Rane Engine Valve Limited,7234455,4218825,58.32,3015630,0,0,0,,10/7/24 11:30,44085,7109138,0.62,,10/7/24 11:30
Rane Holdings Limited,14277809,6649689,46.57,7628120,0,0,0,,10/7/24 11:30,587665,14147405,4.15,,10/7/24 11:30
Rashtriya Chemicals and Fertilizers Limited,551688100,413769483,75,137918617,0,0,0,,10/7/24 11:30,29589754,550680860,5.37,,10/7/24 11:30
Ratnamani Metals & Tubes Limited,70092000,41895320,59.77,28196680,0,0,0,,10/7/24 11:30,2219363,69736557,3.18,,10/7/24 11:30
RattanIndia Enterprises Limited,1382269592,1036119758,74.96,346149834,113152174,10.92,8.19,,10/7/24 11:30,162693949,1382188720,11.77,,10/7/24 11:30
RattanIndia Power Limited,5370105860,2366103603,44.06,3004002257,2097598310,88.65,39.06,,10/7/24 11:30,1484649030,5370091764,27.65,,10/7/24 11:30
Ravi Kumar Distilleries Limited,24000000,5662345,23.59,18337655,0,0,0,,10/7/24 11:30,210050,23971453,0.88,,10/7/24 11:30
Raymond Limited,66573731,32648825,49.04,33924906,3901794,11.95,5.86,,10/7/24 11:30,6091188,65779703,9.26,,10/7/24 11:30
Redington Limited,781774431,0,0,781774431,0,,0,,10/7/24 11:30,11853644,781726731,1.52,,10/7/24 11:30
Refex Industries Limited,115681390,63948085,55.28,51733305,10451120,16.34,9.03,,10/7/24 11:30,16114756,120704375,13.35,,10/7/24 11:30
Regency Ceramics Limited,26441586,16021125,60.59,10420461,2687159,16.77,10.16,,10/7/24 11:30,14339,24856684,0.06,,10/7/24 11:30
Relaxo Footwears Limited,248938586,177416146,71.27,71522440,0,0,0,,10/7/24 11:30,2324407,248570761,0.94,,10/7/24 11:30
Reliance Capital Limited,252708902,3826366,1.51,248882536,130000,3.4,0.05,,10/7/24 11:30,8388324,250344589,3.35,,10/7/24 11:30
Reliance Communications Limited,2765533050,72395572,2.62,2693137478,0,0,0,,10/7/24 11:30,65629147,2749109462,2.39,,10/7/24 11:30
Reliance Home Finance Limited,485058818,3565449,0.74,481493369,0,0,0,,10/7/24 11:30,18327298,481190644,3.81,,10/7/24 11:30
Reliance Industrial Infrastructure Limited,15100000,6860064,45.43,8239936,0,0,0,,10/7/24 11:30,2107102,14899622,14.14,,10/7/24 11:30
Reliance Industries Limited,6766229014,3486804588,51.53,3279424426,0,0,0,,10/7/24 11:30,71321539,6726350198,1.06,,10/7/24 11:30
Reliance Infrastructure Limited,396131194,65813424,16.61,330317770,0,0,0,,10/7/24 11:30,89986814,394046914,22.84,,10/7/24 11:30
Reliance Naval and Engineering Limited,737591263,0,0,737591263,0,,0,,10/7/24 11:30,0,4000,0,,10/7/24 11:30
Reliance Power Limited,4016970966,933475345,23.24,3083495621,0,0,0,,10/7/24 11:30,218362513,4014068896,5.44,,10/7/24 11:30
Religare Enterprises Limited,330012413,0,0,330012413,0,,0,,10/7/24 11:30,44174326,330287726,13.37,,10/7/24 11:30
Remsons Industries Limited,6975757,4555008,65.3,2420749,0,0,0,,10/7/24 11:30,145423,6598441,2.2,,10/7/24 11:30
Renaissance Global Limited,96131432,64854205,67.46,31277227,0,0,0,,10/7/24 11:30,4233399,96131407,4.4,,10/7/24 11:30
Repco Home Finance Limited,62561362,23230606,37.13,39330756,0,0,0,,10/7/24 11:30,2575053,62561302,4.12,,10/7/24 11:30
Repro India Limited,14297288,6700761,46.87,7596527,0,0,0,,10/7/24 11:30,481250,14292979,3.37,,10/7/24 11:30
Responsive Industries Limited,266608544,157663945,59.14,108944599,3028579,1.92,1.14,,10/7/24 11:30,4151457,266608544,1.56,,10/7/24 11:30
Resurgere Mines & Minerals Limited,198874644,37565551,18.89,161309093,3000000,7.99,1.51,,10/7/24 11:30,4434216,198087350,2.24,,10/7/24 11:30
Rico Auto Industries Limited,135285000,68096246,50.34,67188754,0,0,0,,10/7/24 11:30,11248846,135044229,8.33,,10/7/24 11:30
Rolta India Limited,165891355,3839592,2.31,162051763,0,0,0,,10/7/24 11:30,4669690,164305370,2.84,,10/7/24 11:30
Rossell India Limited,37696475,28198233,74.8,9498242,0,0,0,,10/7/24 11:30,446144,37405829,1.19,,10/7/24 11:30
Royal Orchid Hotels Limited,27425215,17455230,63.65,9969985,0,0,0,,10/7/24 11:30,1077954,27406493,3.93,,10/7/24 11:30
Ruchi Infrastructure Limited,224901942,148416336,65.99,76485606,0,0,0,,10/7/24 11:30,2135094,221298441,0.96,,10/7/24 11:30
Ruchira Papers Limited,29844985,20495196,68.67,9349789,0,0,0,,10/7/24 11:30,469840,29844798,1.57,,10/7/24 11:30
Rupa & Company Limited,79524560,58275545,73.28,21249015,0,0,0,,10/7/24 11:30,2580893,79401298,3.25,,10/7/24 11:30
Rushil Decor Limited,27046682,14967428,55.34,12079254,0,0,0,,10/7/24 11:30,7067218,104880837,6.74,,10/7/24 11:30
S H Kelkar and Company Limited,138420801,81322164,58.75,57098637,5000000,6.15,3.61,,10/7/24 11:30,8198030,138420801,5.92,,10/7/24 11:30
S&S Power Switchgears Limited,6200000,3112750,50.21,3087250,0,0,0,,10/7/24 11:30,16842,11150740,0.15,,10/7/24 11:30
S.A.L. Steel Limited,84966700,42959533,50.56,42007167,19500000,45.39,22.95,,10/7/24 11:30,20626301,84800668,24.32,,10/7/24 11:30
SBC Exports Limited,317460000,201892398,63.6,115567602,36825000,18.24,11.6,,10/7/24 11:30,71842167,317460000,22.63,,10/7/24 11:30
SECUREKLOUD TECHNOLOGIES LIMITED,33410605,14539703,43.52,18870902,1650000,11.35,4.94,,10/7/24 11:30,2291701,33410243,6.86,,10/7/24 11:30
SEL Manufacturing Company Limited,33134700,24851025,75,8283675,8946369,36,27,,10/7/24 11:30,9184010,33101355,27.75,,10/7/24 11:30
SEMAC CONSULTANTS LIMITED,3066943,1844525,60.14,1222418,0,0,0,,10/7/24 11:30,19926,3034477,0.66,,10/7/24 11:30
SEPC Limited,1409813633,530688255,37.64,879125378,180146496,33.95,12.78,,10/7/24 11:30,250688707,1563658545,16.03,,10/7/24 11:30
SHREE CEMENT LIMITED,36080748,22569197,62.55,13511551,0,0,0,,10/7/24 11:30,67330,36018019,0.19,,10/7/24 11:30
SIL Investments Limited,10595860,6759369,63.79,3836491,0,0,0,,10/7/24 11:30,198100,10408995,1.9,,10/7/24 11:30
SIS LIMITED,144129849,103325419,71.69,40804430,0,0,0,,10/7/24 11:30,691354,144072081,0.48,,10/7/24 11:30
SJVN Limited,3929795175,3216356729,81.85,713438446,0,0,0,,10/7/24 11:30,78321233,3929793190,1.99,,10/7/24 11:30
SKF India Limited,49437963,25992059,52.58,23445904,0,0,0,,10/7/24 11:30,380929,49040557,0.78,,10/7/24 11:30
SKIL Infrastructure Limited,216571232,121840043,56.26,94731189,79837477,65.53,36.86,,10/7/24 11:30,47302835,216569851,21.84,,10/7/24 11:30
SKM Egg Products Export (India) Limited,26330000,14510944,55.11,11819056,0,0,0,,10/7/24 11:30,605232,24420740,2.48,,10/7/24 11:30
SML Isuzu Limited,14471646,6362306,43.96,8109340,0,0,0,,10/7/24 11:30,1894553,14310090,13.24,,10/7/24 11:30
SMS Lifesciences India Limited,3023287,2158789,71.41,864498,0,0,0,,10/7/24 11:30,34631,3014204,1.15,,10/7/24 11:30
SMS Pharmaceuticals Limited,84652030,54745010,64.67,29907020,10620000,19.4,12.55,,10/7/24 11:30,13475663,84423445,15.96,,10/7/24 11:30
SONAM LIMITED,40032000,28935480,72.28,11096520,2008348,6.94,5.02,,10/7/24 11:30,1370730,40032000,3.42,,10/7/24 11:30
SPL Industries Limited,29000004,19990190,68.93,9009814,0,0,0,,10/7/24 11:30,477582,28129405,1.7,,10/7/24 11:30
